Orientation Sensor Raw Data Test

Current Temperature: 31 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
accelerometer_x	accelerometer_y	accelerometer_z	magnetometer_x	magnetometer_y	magnetometer_z	euler_x	euler_y	euler_z	linearAcceleration_x	linearAcceleration_y	linearAcceleration_z	gravity_x	gravity_y	gravity_z	quaternion_w	quaternion_y	quaternion_x	quaternion_z	calibration_system	calibration_gyro	calibration_accel	calibration_mag
-3.21	-2.06	-10.15	5.50	6.25	-20.87	123.00	-46.19	123.87	4.66	3.74	-5.17	-7.27	-5.54	-3.52	0.3104	0.7230	0.3337	-0.5192	3	0	0	3
-2.14	-2.14	-2.01	-4.56	-1.25	-22.56	117.00	-66.37	84.62	6.84	1.76	-2.37	-8.98	-3.90	0.36	0.3734	0.5470	0.4200	-0.6205	3	0	0	3
-5.60	-3.49	-4.08	-6.00	-7.06	-20.50	126.37	-75.37	83.44	3.88	-1.04	-4.36	-9.49	-2.45	0.28	0.3082	0.4435	0.5467	-0.6399	3	0	0	3
-2.79	-3.86	-7.09	-1.69	-11.75	-18.19	136.94	-75.06	154.25	6.43	-3.64	-4.95	-9.47	-1.09	-2.27	0.2018	0.3505	0.7246	-0.5580	3	0	0	3
-11.35	0.65	-12.12	2.25	-18.25	-12.38	169.38	-58.63	168.94	-2.97	1.62	-7.11	-8.37	-0.97	-5.00	0.0393	0.1359	0.8543	-0.5001	3	0	0	3
-8.21	-1.50	-3.69	-1.69	-22.00	-3.56	179.00	-76.06	158.44	1.30	-0.64	-1.49	-9.51	-0.86	-2.19	0.0081	0.0756	0.7583	-0.6474	3	0	0	3
-6.40	-1.29	-1.81	-4.19	-21.56	-4.75	172.63	-81.44	36.44	3.61	-0.27	-3.00	-9.66	-0.94	1.36	0.0543	0.1229	0.6239	-0.7698	3	0	0	3
-1.87	-1.30	-0.92	-3.06	-20.75	-8.00	166.63	-66.62	43.31	7.17	1.18	-3.93	-9.00	-2.66	2.82	0.0953	0.2673	0.5373	-0.7943	3	0	0	3
-1.25	-5.66	-4.07	-0.88	-18.69	-12.56	168.44	-54.81	81.06	6.76	-0.08	-4.95	-8.01	-5.57	0.87	0.0665	0.4787	0.5128	-0.7096	3	0	0	3
0.37	-4.40	-10.37	8.88	-10.25	-16.56	180.75	-33.75	113.06	6.06	2.08	-8.24	-5.45	-7.49	-3.19	-0.0266	0.6909	0.4616	-0.5558	3	0	0	3
